correct,outcome,user_id,question_id,question_type,group_name,track_name,subtrack_name,tag_string,round_started_at,answered_at,deactivated_at,answer_id,game_type,num_players,date_of_test,question_set_id
0,2,85818,5560,0,1,5,14,222 233 240 246,2010-08-18 20:17:13,2010-08-18 20:18:18,2010-08-18 20:18:18,6540,7,1,NULL,1567
1,1,85818,4681,0,1,5,0,24 49,2010-08-18 20:19:12,2010-08-18 20:20:34,2010-08-18 20:20:34,4742,7,1,NULL,1227
1,1,85818,1529,0,1,5,0,31 49,2010-08-18 20:20:42,2010-08-18 20:21:56,2010-08-18 20:21:56,4309,7,1,NULL,1148
1,1,85818,2908,0,1,5,0,31 49,2010-08-18 20:22:03,2010-08-18 20:23:05,2010-08-18 20:23:05,4408,7,1,NULL,1168
1,1,85818,1773,0,1,5,11,183 194 207,2010-08-18 20:23:11,2010-08-18 20:26:08,2010-08-18 20:26:08,10822,7,1,NULL,2318
1,1,85818,3170,0,1,5,11,201 207,2010-08-18 20:26:17,2010-08-18 20:26:43,2010-08-18 20:26:43,12850,7,2,NULL,2318
1,1,85818,438,0,1,5,14,219 230 246,2010-08-18 20:27:29,2010-08-18 20:28:22,2010-08-18 20:28:22,7531,7,1,NULL,1761
1,1,85818,1909,0,1,5,11,189 207,2010-08-18 20:28:30,2010-08-18 20:32:19,2010-08-18 20:32:19,10827,7,2,NULL,2319
1,1,85818,111,0,1,5,11,189 207,2010-08-18 20:32:23,2010-08-18 20:32:45,2010-08-18 20:32:45,12897,7,1,NULL,2319
1,1,85818,3125,0,1,5,11,201 207,2010-08-18 20:32:49,2010-08-18 20:34:23,2010-08-18 20:36:06,12903,7,3,NULL,2319
0,4,85818,1338,0,1,5,11,193 207,2010-08-18 20:38:36,NULL,2010-08-18 20:39:24,25553,7,1,NULL,2319
1,1,85818,1121,0,1,5,11,201 207,2010-08-20 14:16:12,2010-08-20 14:16:53,2010-08-20 14:17:13,10770,7,4,NULL,2316
1,1,85818,3177,0,1,5,11,182 192 201 207,2010-08-20 14:17:26,2010-08-20 14:17:53,2010-08-20 14:19:16,10776,7,4,NULL,2316
1,1,85818,2277,0,1,5,11,189 207,2010-08-20 14:21:47,2010-08-20 14:22:53,2010-08-20 14:24:36,12739,7,4,NULL,2316
0,4,85818,2946,0,1,5,14,233 246,2010-08-20 14:27:06,NULL,2010-08-20 14:27:53,25553,7,3,NULL,1406
1,1,85818,895,0,1,5,14,228 238 241 246,2010-08-20 14:28:10,2010-08-20 14:28:42,2010-08-20 14:28:42,5726,7,3,NULL,1408
1,1,85818,2131,0,1,5,0,24 49,2010-08-20 14:28:48,2010-08-20 14:29:52,2010-08-20 14:30:09,5544,7,3,NULL,1378
0,4,85818,4884,0,1,5,14,221 226 227 233 246,2010-08-20 14:32:40,NULL,2010-08-20 14:34:40,25553,7,3,NULL,1624
0,4,85818,5085,0,1,5,14,224 227 233 241 246,2010-08-20 14:35:02,NULL,2010-08-20 14:37:02,25553,7,3,NULL,1625
1,1,85818,1719,0,1,5,14,227 228 246,2010-08-20 14:37:18,2010-08-20 14:38:21,2010-08-20 14:38:23,6822,7,3,NULL,1622
1,1,85818,5181,0,1,5,14,226 240 246,2010-08-20 14:39:05,2010-08-20 14:39:20,2010-08-20 14:39:29,6820,7,3,NULL,1621
0,4,85818,874,0,1,5,14,227 233 235 246,2010-08-20 14:39:54,NULL,2010-08-20 14:41:54,25553,7,3,NULL,1630
0,4,85818,2873,0,1,5,14,233 246,2010-08-20 14:42:33,NULL,2010-08-20 14:44:33,25553,7,3,NULL,1628
1,1,85818,1148,0,1,5,14,227 233 240 246,2010-08-20 14:44:43,2010-08-20 14:45:53,2010-08-20 14:46:40,6848,7,3,NULL,1626
0,4,85818,3878,0,1,5,11,201 207,2010-08-20 14:46:49,NULL,2010-08-20 14:51:46,25553,7,3,NULL,2317
0,2,85818,5231,0,1,5,14,221 224 227 241 246,2010-08-20 15:03:11,2010-08-20 15:04:36,2010-08-20 15:04:45,5793,7,3,NULL,1421
0,2,85818,3655,0,1,5,14,227 235 241 246,2010-08-20 15:07:15,2010-08-20 15:08:41,2010-08-20 15:08:41,5787,7,3,NULL,1420
1,1,85818,5973,0,1,5,14,233 246,2010-08-20 15:08:48,2010-08-20 15:10:07,2010-08-20 15:10:09,5782,7,3,NULL,1419
1,1,85818,1416,0,1,5,14,221 227 232 241 246,2010-08-20 15:10:13,2010-08-20 15:11:18,2010-08-20 15:11:18,5771,7,3,NULL,1417
0,2,85818,3797,0,1,5,14,227 236 241 246,2010-08-20 15:11:22,2010-08-20 15:12:36,2010-08-20 15:12:59,5768,7,3,NULL,1416
1,1,85818,3811,0,1,5,14,227 235 246,2010-08-20 15:14:03,2010-08-20 15:14:10,2010-08-20 15:15:19,5761,7,3,NULL,1415
0,2,85818,3989,0,1,5,14,224 227 228 246,2010-08-20 15:16:29,2010-08-20 15:18:08,2010-08-20 15:18:22,5755,7,3,NULL,1414
0,4,85818,1901,0,1,5,11,189 207,2010-08-20 15:19:45,NULL,2010-08-20 15:24:36,25553,7,3,NULL,2305
0,4,85818,1641,0,1,5,14,219 228 236 246,2010-08-20 15:27:16,NULL,2010-08-20 15:29:17,25553,4,5,NULL,1603
0,2,85818,1228,0,1,5,14,227 228 241 246,2010-08-20 15:31:47,2010-08-20 15:32:54,2010-08-20 15:33:04,6944,4,4,NULL,1645
0,2,85818,5995,0,1,5,14,226 228 240 246,2010-08-20 15:34:30,2010-08-20 15:35:20,2010-08-20 15:35:20,6482,4,3,NULL,1556
0,4,85818,4218,0,1,5,14,233 246,2010-08-20 15:37:50,NULL,2010-08-20 15:39:50,25553,4,3,NULL,1555
0,4,85818,4061,0,1,5,0,28 49,2010-08-20 17:25:07,NULL,2010-08-20 17:27:37,25553,7,4,NULL,1165
1,1,85818,4852,0,1,5,14,227 241 246,2010-08-20 17:38:27,2010-08-20 17:40:03,2010-08-20 17:40:04,7514,7,2,NULL,1757
1,1,85818,531,0,1,5,14,233 238 246,2010-08-20 17:40:15,2010-08-20 17:40:49,2010-08-20 17:41:02,7524,7,2,NULL,1759
